id,value,feed_id,created_at,lat,lon,ele
0EH055JNS5FY4NGDBYNWNKC3P9,18.26434,1431814,2020-08-18 10:06:36 UTC,,,
0EH055PSM4RB2HZHJQPEPEJEJQ,18.26434,1431814,2020-08-18 10:06:50 UTC,,,
0EH055V3PVCJ9YET12D391TAZ2,18.33356,1431814,2020-08-18 10:07:04 UTC,,,
0EH055ZKJFP8XG4SFTS9NWV6B0,18.33356,1431814,2020-08-18 10:07:19 UTC,,,
0EH0563SN10AW8BHE08JRQ7SAB,18.26434,1431814,2020-08-18 10:07:32 UTC,,,
0EH0567ZJ2W4RYGHNP0BM2W00W,18.09122,1431814,2020-08-18 10:07:46 UTC,,,
0EH056CAFMHX04C9VW8103RPDE,18.26434,1431814,2020-08-18 10:08:00 UTC,,,
0EH056GRTNQ7PK7PGEFG8TXS6Y,18.26434,1431814,2020-08-18 10:08:15 UTC,,,
0EH056N1QSSXKWPYKR4PY4W49R,18.26434,1431814,2020-08-18 10:08:29 UTC,,,
0EH056SBMJEEBCXQN4GCAS9HYE,18.09122,1431814,2020-08-18 10:08:43 UTC,,,
0EH056XQDC6M8FQD8622CBGGE8,18.26434,1431814,2020-08-18 10:08:57 UTC,,,
0EH0571ZQ6PNGG2H1X380DSYPK,18.09122,1431814,2020-08-18 10:09:11 UTC,,,
0EH05769MT069TY5Q9DVJ835TC,18.33356,1431814,2020-08-18 10:09:25 UTC,,,
0EH057AKJ14B8FE8NM608HG2DF,18.33356,1431814,2020-08-18 10:09:40 UTC,,,
0EH057EXM868DFXEY73DBFT93B,18.33356,1431814,2020-08-18 10:09:54 UTC,,,
0EH057KATVM0YM19S2B364HDFE,18.26434,1431814,2020-08-18 10:10:08 UTC,,,
0EH057QNC706B92YP7HZRZZCGB,18.26434,1431814,2020-08-18 10:10:22 UTC,,,
0EH057VXWGVAVR9Y7TJKAQC95R,18.26434,1431814,2020-08-18 10:10:36 UTC,,,
0EH058080NRHGHT2YME9BMQ9Q2,17.91809,1431814,2020-08-18 10:10:51 UTC,,,
0EH0584M7TW08WJ6AHCB10GJT5,17.91809,1431814,2020-08-18 10:11:05 UTC,,,
0EH0588VPPPNC9Q4E4MCGE3XQN,18.26434,1431814,2020-08-18 10:11:19 UTC,,,
0EH058D9Q0QT4E7QZYAD2V4M1P,18.33356,1431814,2020-08-18 10:11:33 UTC,,,
0EH058HHMFR22GF5AQ0Q3C3P24,18.09122,1431814,2020-08-18 10:11:47 UTC,,,
0EH058NVRDB783V4EW8FRXYV3Q,18.09122,1431814,2020-08-18 10:12:01 UTC,,,
0EH058T5GETF1RV0GTFWD7R4MG,17.91809,1431814,2020-08-18 10:12:15 UTC,,,
0EH058YJ87C9Y1EC1NHZAVK98Y,18.09122,1431814,2020-08-18 10:12:30 UTC,,,
0EH0592SRK8RK9KMJB3553M86X,17.80264,1431814,2020-08-18 10:12:44 UTC,,,
0EH05977M9E2PR6A4Z5DDQHEKB,17.80264,1431814,2020-08-18 10:12:58 UTC,,,
0EH059BFKEEVWBXZT6KNDGN8HX,17.80264,1431814,2020-08-18 10:13:12 UTC,,,
0EH059FTFSQV0S79Z1MQJXGZK2,17.91809,1431814,2020-08-18 10:13:26 UTC,,,
0EH059M5HB2EXN7WPBTZRP6W0A,17.91809,1431814,2020-08-18 10:13:41 UTC,,,
0EH059RDRRD119DRA8KXV5RM0Q,17.6872,1431814,2020-08-18 10:13:55 UTC,,,
0EH059WSEBPKNK9K98W5ZBA5M6,17.80264,1431814,2020-08-18 10:14:09 UTC,,,
0EH05A11QYAGFVT9GN0X9B4S2G,17.80264,1431814,2020-08-18 10:14:23 UTC,,,
0EH05A5BN13D16CBRVZ1T7BBDZ,17.6872,1431814,2020-08-18 10:14:37 UTC,,,
0EH05A9NQ18BSHCHKJAHV1PQKH,17.80264,1431814,2020-08-18 10:14:51 UTC,,,
0EH05AE1YBPMXZM5NC9615CNVJ,18.26434,1431814,2020-08-18 10:15:05 UTC,,,
0EH05AJE7GGG33GPVNCTSV2XER,18.09122,1431814,2020-08-18 10:15:20 UTC,,,
0EH05APQSWMZXRH6FDWFPDK4VK,18.26434,1431814,2020-08-18 10:15:34 UTC,,,
0EH05AV1N50WB222YZ73CRJTZ4,17.80264,1431814,2020-08-18 10:15:48 UTC,,,
0EH05AZDRPFMAPWE7P0M0GFCQN,18.26434,1431814,2020-08-18 10:16:02 UTC,,,
0EH05B3NPENPNW34GNHB68Z5S8,17.57175,1431814,2020-08-18 10:16:16 UTC,,,
0EH05B81KJ23GNEW056RPT7W85,17.57175,1431814,2020-08-18 10:16:31 UTC,,,
0EH05BCBJV7GJ6V9263XXQ4FQX,17.6872,1431814,2020-08-18 10:16:45 UTC,,,
